                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62354,                0.82656,                 1.0411,                0.88322,                0.87722,                0.94857,                 0.7848,                0.78445,                0.64018,                 1.0431,             0.00017287,             0.00017287,             0.00017287
                     36,                0.62039,                0.81637,                 1.0364,                0.91205,                0.88677,                0.94313,                0.77704,                0.79401,                0.62597,                 1.0707,             0.00016817,             0.00016817,             0.00016817
                     37,                0.62946,                0.80046,                 1.0441,                0.91988,                0.87421,                0.94834,                0.76986,                0.83186,                0.60946,                 1.0859,             0.00016346,             0.00016346,             0.00016346
                     38,                0.62062,                0.79396,                 1.0381,                0.90901,                0.90691,                0.95143,                0.77857,                0.82998,                0.63857,                 1.0905,             0.00015875,             0.00015875,             0.00015875
                     39,                0.61074,                0.77462,                 1.0357,                0.94324,                0.88594,                0.95804,                0.79032,                0.80748,                0.57378,                 1.0514,             0.00015404,             0.00015404,             0.00015404
                     40,                0.61315,                0.78939,                 1.0377,                0.89809,                0.89314,                0.95119,                0.79874,                0.75548,                0.63286,                 1.0416,             0.00014933,             0.00014933,             0.00014933
                     41,                0.61366,                0.75722,                 1.0284,                0.88536,                 0.9043,                0.94859,                0.77978,                0.82937,                0.59698,                 1.0715,             0.00014462,             0.00014462,             0.00014462
                     42,                0.60277,                0.74333,                 1.0255,                0.91519,                0.88092,                0.95621,                 0.7923,                0.79941,                0.57465,                 1.0605,             0.00013991,             0.00013991,             0.00013991
                     43,                0.60825,                0.74775,                 1.0279,                0.92519,                0.88313,                0.95859,                0.78053,                0.83104,                0.59431,                 1.0753,              0.0001352,              0.0001352,              0.0001352
                     44,                0.61294,                0.74569,                 1.0397,                0.92044,                0.87547,                0.95922,                0.78706,                0.80856,                0.56861,                 1.0681,             0.00013049,             0.00013049,             0.00013049
                     45,                0.59982,                0.72375,                 1.0237,                0.90074,                0.92388,                0.97262,                0.79467,                0.80729,                0.54318,                 1.0757,             0.00012578,             0.00012578,             0.00012578
                     46,                0.59249,                0.70694,                 1.0227,                0.91658,                0.89634,                 0.9476,                0.79321,                0.76064,                0.58612,                 1.0426,             0.00012107,             0.00012107,             0.00012107
                     47,                0.60248,                0.71109,                 1.0304,                0.87507,                0.90911,                0.95954,                 0.7885,                0.78739,                 0.5832,                  1.057,             0.00011636,             0.00011636,             0.00011636
                     48,                0.58617,                0.68881,                 1.0216,                0.91389,                0.90984,                0.96581,                0.79505,                0.80099,                0.54751,                 1.0579,             0.00011165,             0.00011165,             0.00011165
                     49,                0.58475,                0.66592,                 1.0162,                0.92439,                0.88898,                0.93781,                0.78331,                  0.767,                0.60798,                 1.0459,             0.00010694,             0.00010694,             0.00010694
                     50,                0.57525,                0.68117,                 1.0156,                0.89887,                0.90138,                0.95452,                0.78491,                0.82296,                0.57077,                  1.072,             0.00010223,             0.00010223,             0.00010223
                     51,                0.57346,                0.67828,                 1.0079,                0.89466,                0.90927,                0.95764,                0.78841,                0.79006,                0.56265,                 1.0565,             9.7521e-05,             9.7521e-05,             9.7521e-05
                     52,                0.57182,                0.66001,                 1.0162,                0.92598,                0.91305,                0.95165,                0.78864,                0.75849,                0.55476,                 1.0261,             9.2812e-05,             9.2812e-05,             9.2812e-05
                     53,                0.58277,                0.67998,                   1.02,                0.93403,                0.87614,                0.95039,                0.77933,                0.79667,                 0.5913,                 1.0604,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     54,                0.56395,                 0.6501,                 1.0052,                 0.9105,                0.91126,                0.93722,                0.77281,                0.79743,                0.56156,                 1.0626,             8.3393e-05,             8.3393e-05,             8.3393e-05
                     55,                0.56052,                0.64885,                 1.0042,                0.92152,                 0.9096,                0.95406,                0.77994,                0.80921,                0.55692,                 1.0689,             7.8683e-05,             7.8683e-05,             7.8683e-05
                     56,                0.56884,                0.64398,                 1.0073,                0.91372,                0.89725,                 0.9576,                0.79231,                0.76757,                0.54812,                  1.049,             7.3974e-05,             7.3974e-05,             7.3974e-05
                     57,                0.55607,                0.62446,                 1.0035,                0.94027,                 0.8858,                0.95502,                0.78276,                0.81033,                0.57257,                 1.0573,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     58,                0.56279,                0.65094,                 1.0096,                0.93074,                0.90467,                0.95514,                0.77746,                 0.7971,                0.55148,                 1.0591,             6.4554e-05,             6.4554e-05,             6.4554e-05
                     59,                0.55719,                0.62773,                 1.0076,                0.94118,                0.88363,                0.96111,                0.79015,                0.78049,                0.55493,                 1.0414,             5.9845e-05,             5.9845e-05,             5.9845e-05
                     60,                0.54405,                0.61732,                 1.0027,                 0.9173,                0.88869,                0.95606,                0.79302,                0.79928,                0.53763,                 1.0599,             5.5135e-05,             5.5135e-05,             5.5135e-05
                     61,                  0.394,                 0.4029,                0.91718,                0.90938,                0.87764,                0.94434,                0.78205,                0.75715,                0.59537,                 1.0409,             5.0426e-05,             5.0426e-05,             5.0426e-05
                     62,                0.38892,                0.39269,                 0.9008,                0.92323,                0.87182,                0.94104,                0.77755,                0.75379,                0.57915,                  1.038,             4.5716e-05,             4.5716e-05,             4.5716e-05
                     63,                 0.3836,                0.37998,                0.89707,                0.92453,                0.87491,                0.94281,                0.77753,                0.77301,                0.56468,                 1.0435,             4.1007e-05,             4.1007e-05,             4.1007e-05
                     64,                0.37765,                0.37202,                0.89757,                0.92736,                0.88729,                0.94693,                 0.7741,                0.80217,                0.58296,                 1.0601,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     65,                0.37343,                0.36624,                0.89864,                0.92193,                0.88394,                0.94793,                0.77552,                0.81132,                0.56294,                 1.0638,             3.1587e-05,             3.1587e-05,             3.1587e-05
                     66,                0.37067,                0.35668,                0.89306,                 0.9234,                0.89418,                0.94807,                0.78035,                0.79755,                0.54849,                 1.0578,             2.6878e-05,             2.6878e-05,             2.6878e-05
                     67,                0.36479,                0.35498,                0.90121,                0.91823,                0.90097,                0.94688,                0.77758,                0.81937,                0.54667,                  1.071,             2.2168e-05,             2.2168e-05,             2.2168e-05
                     68,                0.36402,                0.34774,                0.88966,                0.91378,                0.90499,                0.94513,                0.78615,                0.77694,                0.53986,                 1.0389,             1.7459e-05,             1.7459e-05,             1.7459e-05
                     69,                0.36105,                0.34919,                0.88745,                0.91951,                0.89583,                 0.9463,                0.78661,                0.76175,                0.53348,                 1.0336,             1.2749e-05,             1.2749e-05,             1.2749e-05
                     70,                0.35659,                0.35203,                0.89208,                0.92594,                0.89054,                0.94452,                0.78189,                0.77452,                 0.5455,                 1.0436,             8.0396e-06,             8.0396e-06,             8.0396e-06
